Gene	Trait	CellType	Tissue
ATF3:CD68:COPB1:CP:DDX21:DNAJA1:DNM1L:FBXO11:HPGD:JUN:MAP1A:MAP9:MLEC:PDIA3:PDIA4:SLC25A25:SRSF3:STRN3:TRA2B:UFL1	Anxiety_Otowa_2016_Anxiety-Continuous	SN_MICROGLIA	Saunders
ABCF1:ACSL3:APLP1:APP:ATP1A2:DAB1:DNAJA1:KCNJ10:LPAR1:MAP7D1:PDIA3:REEP5:SERF2:SLC27A4	Anxiety_Otowa_2016_Anxiety-Continuous	SN_OLIGODENDROCYTE	Saunders
ABCF1:ACSL3:APP:ATP1A2:ATP6V1A:CKB:DNAJA1:DNM1L:GTF2I:IGSF8:JUN:KCNJ10:MAGOH:MAP1A:NAV1:PAFAH1B1:PDIA3:PPP3CA:PSMA7:RBM39:REEP5:SLC25A4:SRPK2:SRSF3:TNS3:TPP2:TRA2B:VPS35	Anxiety_Otowa_2016_Anxiety-Continuous	SN_POLYDENDROCYTE	Saunders
ABCB1:ABCF1:ACSL3:ANKRD12:APP:C12orf43:CDK19:CHD1:COPB1:CP:DNAJA1:DNAJB9:DNM1L:DPP3:EEA1:GABARAPL1:HGS:HNRNPH3:HYPK:JUN:LMAN1:MAPK1:MED19:PDCD6:PDIA3:PPP3CA:PSMA7:REEP5:ROCK1:SAE1:SERF2:TMX3:VAMP5:VAMP8:VPS35:WDR5	Anxiety_Otowa_2016_Anxiety-Continuous	STR_ENDOTHELIAL_STALK	Saunders
ACSL3:ALDH1A1:APP:ATP1A2:ATP1B2:ATP2A2:ATP6V1A:CACNA1A:CACNA2D1:COPB1:CP:DNAJA1:DNM1L:GABARAPL1:GABRA4:HSPA5:HYPK:KCNAB1:MAP1A:MAPK1:NECAB1:NFE2L1:P2RX4:PDIA3:PDIA4:PPP3CA:PSMA7:RBP1:SERF2:SLC12A5:SLC1A5:SLC6A20:SPARCL1:TMX3:VAMP5:VPS35	Anxiety_Otowa_2016_Anxiety-Continuous	STR_ENDOTHELIAL_TIP	Saunders
APP:ATP6V1G1:CALN1:CD36:CD68:CMPK1:CP:ERGIC3:FCGR2B:HFE:HPGD:JUN:LY6E:MAF:MAPK1:PDIA3:SNX6	Anxiety_Otowa_2016_Anxiety-Continuous	STR_MACROPHAGE	Saunders
ABCF1:ACSL3:APP:ATP1A2:ATP2A2:CACNA2D1:CCT6A:CDK19:CKB:COPB1:COPB2:COX14:CYLD:DGAT2:DNAJA1:DNAJB9:DNM1L:DUSP15:GPT2:GTF2I:HSPH1:HYPK:IGSF8:IK:ITM2B:JUN:KCNJ10:LMAN1:LPAR1:MAGOH:MAP1A:MAT2A:NAV1:NDUFA2:NFKBIB:ORC6:OSGEP:PBRM1:PDCD4:PDIA3:PDIA4:PPP3CA:PSMA5:PSMA7:PSMD1:RAB11A:RAP1GDS1:REEP5:SC5D:SCHIP1:SERF2:SLC27A4:SPCS1:SRP19:SRSF3:SSR1:TAF11:TMX3:TOP2B:TPP2:TRA2B:VPS35:VTA1	Anxiety_Otowa_2016_Anxiety-Continuous	STR_POLYDENDROCYTE	Saunders
ACSL3:APP:ATP1A2:ATP1B2:BIRC6:CDH2:COPB1:GOLGA4:GRIA2:KCNJ10:PBRM1:PDIA3:SPON1:TMX3	Anxiety_Otowa_2016_Anxiety-Continuous	TH_ASTROCYTE	Saunders
ACSL3:ALDH1A1:APP:ATP1A2:ATP1B2:ATP6V1A:COPB1:CP:DNAJA1:GABARAPL1:GTF2I:PBRM1:PDE1A:PDIA3:PDIA4:RBP1:SERPINH1:SLC6A20:SMARCD3:UBE3A	Anxiety_Otowa_2016_Anxiety-Continuous	TH_ENDOTHELIAL_TIP	Saunders
ACSL3:APP:APTX:ATP1A2:ATP6V1A:CDH2:COPB1:DDX21:DNAJA1:DNAJB9:DNM1L:DPP3:GTF2I:HYPK:IGSF8:JUN:KCNJ10:KIF5B:LPAR1:MAP1A:ODF2:PDCD4:PDIA3:REEP5:SOCS5:SOX2:SRPK2:STRN3:TMX3:TNS3:TOP2B:TRA2B:VPS35	Anxiety_Otowa_2016_Anxiety-Continuous	TH_POLYDENDROCYTE	Saunders
ATP1B1:CAMK4:CTSB:GNGT2:HLA-DRB5:IL6R:KIF3A:PSMA7:SH3BGRL3:TGFB1:TGFBR1	Asthma_Demenais_2017	CB_MICROGLIA	Saunders
AIF1:CEBPA:FCER1G:GNGT2:IL6R:IRF8:MEF2C:SGK1:STAT6:TGFB1:TGFBR1	Asthma_Demenais_2017	GP_MICROGLIA	Saunders
CADM2:CAPZA2:CS:EIF5B:FGFR1:GNAI2:GPM6A:MAPT:MEF2C:MEIS2:NCAN:NR3C1:PBX1:POU3F2:PTPRF:RCN2:TSPAN3	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	FC_ASTROCYTE	Saunders
ATP6V0B:CAPZA2:CEBPA:CELF4:EGR1:EIF5B:GIGYF2:GNAI2:GPM6A:HEXA:JUN:MEF2C:NDUFA13:NR3C1:PDIA6:PTPN1:SLC25A4:SLC9A9:SMARCC1:SPARC:SRPK2:SYNCRIP:TM9SF3:TUBA1B:UBN1:XRN2	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	FC_MICROGLIA	Saunders
ABCD2:ATP1B1:CADM2:CAPZA2:CS:GNAI2:GPM6A:MAPT:MEF2C:MEIS2:NCAN:NR3C1:PBX1:POU3F2:SLC38A3:TCF4:TSPAN3	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	PC_ASTROCYTE	Saunders
ABI2:AGO2:CACNA1D:CAPZA2:CELF4:CSNK1E:EGR1:EIF5B:ETF1:G3BP1:GIGYF2:GNAI2:JUN:MEF2C:NRIP1:PCDH9:PRKACA:SCOC:SMAP1:SPARC:SRSF10:TUBA1B:UBN1:UBQLN1:XRN2:YTHDF2	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	PC_MICROGLIA	Saunders
ADD1:ALDH2:ANXA5:ATP6V0B:CAPZA2:COMMD4:COX7A2L:DAB2:EIF5B:GNAI2:JUN:MEF2C:NFKB1:NR3C1:PDIA6:SLC25A4:SLC9A9:TMEM86A:XRN2	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	STR_MACROPHAGE	Saunders
ADD3:APOE:CHMP2A:CKB:CNN3:EPS15:FGFR1:GNAI2:MAP1LC3A:MAPK1:PBXIP1:SDC4:ST13:UBTF	Bipolar-Disorder_Stahl_2018	CB_ASTROCYTE	Saunders
ADD3:APOE:ATP1B3:CHMP2A:COL1A2:DYNLRB1:FGFR1:GNAI2:HLF:KMT2E:MAP1LC3A:MAPK1:MEF2A:MPP6:NDUFA13:NDUFA2:NDUFS2:OCIAD1:PBRM1:PRKAG1:SDC4:SERBP1:SFPQ:SMARCA2:ST13:TOP1	Bipolar-Disorder_Stahl_2018	CB_ENDOTHELIAL_TIP	Saunders
ADD3:APOE:CKB:GNAI2:KMT2E:LCAT:MAP1LC3A:MEF2A:NDUFA13:PBXIP1:PIAS2:SDC4:SERBP1:SFPQ:ST13:SYNE1:THRA:UBE3A:UBTF:YWHAE	Bipolar-Disorder_Stahl_2018	ENT_ASTROCYTE	Saunders
ADD3:APOE:ATF2:CHMP2A:CKB:CNN3:DAP3:EIF5B:FGFR1:GNAI2:GRIN2A:HDAC5:HLF:HNRNPH1:MAP1LC3A:MAP1LC3B:MAPK1:MEF2A:MSI2:NCAN:NDUFA13:NDUFS2:NHP2:PBXIP1:PRKAG1:QKI:RAPGEF3:RHEB:SDC4:SERBP1:SFPQ:SLC1A3:ST13:SYNE1:THRA:TUBA4A:UBE2M:UBE2R2:VPS4A:YWHAG	Bipolar-Disorder_Stahl_2018	FC_ASTROCYTE	Saunders
ADD3:APOE:ATP1B3:CHMP2A:CKB:COL1A2:EIF5B:EPN2:FBXW7:FN1:GNAI2:HLF:MAP1LC3A:NDUFA13:NDUFA2:NDUFB7:QKI:RBFOX1:SDC4:SERBP1:SFPQ:ST13:TOP1	Bipolar-Disorder_Stahl_2018	FC_ENDOTHELIAL_TIP	Saunders
ADD3:APOE:CKB:DBP:FGFR1:GNAI2:HLF:KPNB1:MAP1LC3A:MAPK1:MSI2:QKI:SDC4:SERBP1:SFPQ:ST13:SYNE1	Bipolar-Disorder_Stahl_2018	GP_ASTROCYTE	Saunders
ADD3:APOE:CKB:EIF5B:GNAI2:MAP2:MAPK1:QKI:S100B:SERBP1:SFPQ:ST13:YBX3:YWHAE	Bipolar-Disorder_Stahl_2018	GP_POLYDENDROCYTE	Saunders
ADD3:APOE:CHMP2A:CKB:CNN3:CREB1:DAP3:EIF5B:EPN2:FOXG1:GNAI2:HLF:HNRNPH1:LCAT:MAP1LC3A:MAP1LC3B:MAPK1:MSI2:NDUFA13:NDUFS2:NHP2:PBXIP1:QKI:SDC4:SERBP1:ST13:SYNE1:THRA:UBE2M:UBTF	Bipolar-Disorder_Stahl_2018	HC_ASTROCYTE	Saunders
ADD3:APOE:ATP1B3:CBX5:CHMP2A:CKB:GNAI2:HLF:MAP1LC3A:MDH2:SDC4:SERBP1:SFPQ:ST13:TOP1	Bipolar-Disorder_Stahl_2018	HC_ENDOTHELIAL_TIP	Saunders
ABAT:ADD3:APOE:CHMP2A:CKB:GCLC:GNAI2:MAP1LC3A:NDUFA13:PBXIP1:SDC4:SERBP1:ST13:YWHAE	Bipolar-Disorder_Stahl_2018	HC_EPENDYMAL	Saunders
ADD3:ANKRD11:APOE:CHMP2A:CKB:COX5A:CREB1:DBP:FGFR1:GNAI2:GRIN2A:HDAC5:HLF:MAP1LC3A:MAPK1:MEF2A:MSI2:NCAN:NDUFA13:NDUFS2:PRKAG1:PRKCA:QKI:RAPGEF3:SDC4:SERBP1:SFPQ:ST13:SYNE1:TUBA4A:UBE2M:YWHAE	Bipolar-Disorder_Stahl_2018	PC_ASTROCYTE	Saunders
ABCB1:ADD3:ATP1B3:CHMP3:EIF5B:FN1:GNAI2:OSBPL9:SERBP1:SFPQ:ST13	Bipolar-Disorder_Stahl_2018	PC_ENDOTHELIAL_STALK	Saunders
ADD3:APOE:ATP1B3:CHD4:CHMP2A:CKB:COL1A2:EIF5B:EPN2:FN1:GNAI2:HLF:ILF3:KMT2E:LUC7L2:MAP1LC3A:MEF2A:NDUFA13:NDUFB7:PBRM1:QKI:RBFOX1:RTF1:SDC4:SERBP1:SFPQ:SMARCA2:ST13:TOP1:UBTF:VAPA:ZMYND11	Bipolar-Disorder_Stahl_2018	PC_ENDOTHELIAL_TIP	Saunders
ADD3:APOE:CKB:DCUN1D1:GNAI2:HDAC5:MAP1LC3A:MAPK1:MSI2:NDUFA13:PBXIP1:SDC4:SERBP1:ST13:SYNE1:UBE2M:UBE3A:UBTF:YWHAE	Bipolar-Disorder_Stahl_2018	SN_ASTROCYTE	Saunders
ADD3:APOE:ATP1B3:CHMP2A:CKB:COL1A2:DBP:GNAI2:HLF:KMT2E:MAP1LC3A:MEF2A:PDLIM2:PURA:SDC4:SERBP1:SFPQ:ST13	Bipolar-Disorder_Stahl_2018	SN_ENDOTHELIAL_TIP	Saunders
ADD3:APOE:CKB:ILF3:MAP1LC3A:MAPK1:NRAS:QKI:RTN4:S100B:SERBP1:SFPQ:ST13:UBTF	Bipolar-Disorder_Stahl_2018	SN_POLYDENDROCYTE	Saunders
ADD3:APOE:CHMP2A:CKB:MAP1LC3A:MAPK1:MEF2A:SDC4:SERBP1:ST13:SYNE1	Bipolar-Disorder_Stahl_2018	STR_EPENDYMAL	Saunders
ADD3:APOE:CHMP2A:CKB:GNAI2:KMT2E:LUC7L2:MAP1LC3B:MEF2A:MSI2:NCAN:SDC4:SERBP1:SFPQ:ST13:SYNE1	Bipolar-Disorder_Stahl_2018	TH_ASTROCYTE	Saunders
ABCB1:ADD3:EIF5B:FN1:GNAI2:KMT2E:MAP1LC3A:OSBPL9:PBRM1:PDGFB:QKI:SERBP1:SFPQ:SMARCA2:ST13:UBE2R2	Bipolar-Disorder_Stahl_2018	TH_ENDOTHELIAL_STALK	Saunders
ABCA1:AHCYL1:AMPD3:APOE:ATP1B2:ATP6V0D1:CKAP5:COPS5:EIF2S2:EIF3A:FASN:GADD45G:GNAI2:LCAT:LRP1:MAPK8IP1:MAPRE1:MDK:NAPA:NFE2L1:PLTP:RBM39:REEP3:SLC38A3:SP1:SPARCL1:TCF12:TMEM258:TP53:TRPS1:UBE2L3:UBQLN1:ZNF664	Blood-Lipids_Teslovich_2010_High-Density-Lipoprotein	CB_ASTROCYTE	Saunders
ABCA1:APOE:COBLL1:LRP1:MAP1LC3A:NAPA:NDUFS3:NFE2L1:NUDC:PLTP:RBM39:SFPQ:SRRT	Blood-Lipids_Teslovich_2010_High-Density-Lipoprotein	CB_CHOROID_PLEXUS	Saunders
ABCA1:ANAPC10:APOE:C18orf32:CTCF:CUL1:DGKZ:HNRNPM:MAP1LC3A:NOS3:NR3C1:PLTP:PSMB10:RBM39:SCARB1:SLC39A8:SMAD7:SP1:TMEM258:TSC22D1:UBE2L3:UBQLN1	Blood-Lipids_Teslovich_2010_High-Density-Lipoprotein	CB_ENDOTHELIAL_STALK	Saunders
ABCA1:APOE:BLMH:C18orf32:CDK12:CEBPG:GKAP1:GNAI1:HACD3:HDGF:HERPUD1:HNRNPM:INTS10:JMJD1C:KANK2:LRP1:MAP1LC3A:MAPK8IP1:MDK:MTCH2:NCOA3:NFE2L1:NR3C1:NUDC:PIAS4:PLTP:PSMB10:RALY:RBM39:REEP3:SLC39A13:SP1:TMEM160:TMEM258:TP53:TSC22D1:UBE2K:UBQLN1:ZBTB7A	Blood-Lipids_Teslovich_2010_High-Density-Lipoprotein	CB_ENDOTHELIAL_TIP	Saunders
ABCA1:APOE:CAPZA2:CTSA:HERPUD1:HLA-DRB5:LAIR1:LRP1:NFE2L1:PLTP:PSMA2:PSMB10:RBM39:RELA:SFPQ:SPI1:STAB1:STX4:TPM3:USP7:ZBTB7A	Blood-Lipids_Teslovich_2010_High-Density-Lipoprotein	CB_MICROGLIA	Saunders
ABCA1:AHCYL1:APOE:BAZ1B:CDK12:CKAP5:CTCF:DDX17:GNAI2:GSK3B:HDGF:HERPUD1:LCAT:LRP1:MAPT:MDK:NFE2L1:NR2F2:NUDC:PCBP1:RBM39:RBM5:SNW1:SRRT:UBE2L3:UBQLN1	Blood-Lipids_Teslovich_2010_High-Density-Lipoprotein	ENT_ASTROCYTE	Saunders
APOE:C18orf32:GNAI2:HNRNPM:MAP1LC3A:NOS3:PLTP:SCARB1:SLC39A8:TMEM258:TSC22D1:UBQLN1	Blood-Lipids_Teslovich_2010_High-Density-Lipoprotein	ENT_ENDOTHELIAL_STALK	Saunders
ABCA1:APOE:BAZ1B:C18orf32:CRY2:GSK3B:HNRNPM:JMJD1C:KANK2:KDELR2:LPL:LRP1:MAP1LC3A:MDK:MTCH2:NAPA:NFE2L1:NUDC:PLTP:RALY:RBM39:TIMP2:TSC22D1:ZBTB7A	Blood-Lipids_Teslovich_2010_High-Density-Lipoprotein	ENT_ENDOTHELIAL_TIP	Saunders
ABCA1:APOE:ATP1B2:BAZ1B:CSNK2A1:GNAI2:GNG3:GSK3B:JMJD1C:LCAT:LRP1:MAPK8IP1:MDK:MVK:NAPA:NFE2L1:RBM39:SLC38A3	Blood-Lipids_Teslovich_2010_High-Density-Lipoprotein	FC_ASTROCYTE	Saunders
APOE:ARL4A:BAZ1B:C18orf32:CAPZA2:CBX1:CTCF:GNAI2:HNRNPM:ITCH:KANK2:KCTD10:MAP1LC3A:MTCH2:NAPA:NFE2L1:NOS3:PLTP:PPP2R5A:PSMB10:RBM39:SCARB1:SLC39A8:SP1:TMEM258:TPM3:TSC22D1:UBQLN1	Blood-Lipids_Teslovich_2010_High-Density-Lipoprotein	FC_ENDOTHELIAL_STALK	Saunders
ABCA1:ACP2:APOE:ARID1A:CAPZA2:CD36:CTCF:CTSA:DGKZ:DYNLRB1:GNAI2:GNG2:HNRNPM:LRP1:LRPAP1:MAPRE1:NAPA:NFE2L1:PEPD:PLA2G15:PLTP:PSMB10:PURB:RBM39:RELA:RNF20:ROCK2:SNX2:SOAT1:SP1:SPI1:SRRT:STAB1:TPM3:UBE2L3:ZBTB7A	Blood-Lipids_Teslovich_2010_High-Density-Lipoprotein	FC_MACROPHAGE	Saunders
ABCA1:AHCYL1:APOE:ATP1B2:FASN:GNAI2:LCAT:LRP1:MDK:NFE2L1:PHGDH:RBM39:SDC4:SLC1A4:SLC38A3:SRRT:TPM3:TRPM7	Blood-Lipids_Teslovich_2010_High-Density-Lipoprotein	GP_ASTROCYTE	Saunders
APOE:BAZ1B:C18orf32:CAPZA2:CBX1:CTCF:GNAI2:HNRNPM:KCTD10:KPNB1:MAP1LC3A:NAPA:NDUFA7:NOS3:NUP93:PLTP:PPP2R5A:PSMB10:SCARB1:SLC39A8:SP1:TMEM258:TSC22D1:UBE2L3:UBQLN1	Blood-Lipids_Teslovich_2010_High-Density-Lipoprotein	GP_ENDOTHELIAL_STALK	Saunders
ABCA1:ACTN4:AMFR:ANGPTL4:APOE:C18orf32:CDK12:CTCF:DOCK6:HDLBP:HERPUD1:HNRNPM:HNRNPR:KNOP1:LPL:LRP1:MAP1LC3A:MDK:MMP9:NAPA:NFE2L1:NR2F2:PCIF1:PLTP:RAB11B:RBM39:SLC38A3:SMARCA4:SP1:TCF12:TGM2:TMEM258:TSC22D1:UBE2K:UBE2L3:UBQLN1:UBTF:USP34	Blood-Lipids_Teslovich_2010_High-Density-Lipoprotein	GP_ENDOTHELIAL_TIP	Saunders
ABCA1:AMPD3:APOE:CAPZA2:CKAP5:CRY2:CTNNA1:DICER1:F2:FASN:FOXJ1:FOXO1:GNAI2:HNRNPM:HSPH1:LIPC:LPL:NAPA:NUDC:PLTP:RBM39:SCARB1:SLC38A3:SNW1:TGM2:THRA	Blood-Lipids_Teslovich_2010_High-Density-Lipoprotein	GP_EPENDYMAL	Saunders
ABCA1:ACP2:APOE:CAPZA2:CD36:CTSA:DDOST:DYNLRB1:EFTUD2:EHD4:EIF1B:FKBP5:FKBP8:GNAI2:HNRNPM:HSPA4:HSPBP1:LGALS8:LRP1:MAP1LC3A:MAPRE1:NDUFS3:NFE2L1:NPEPPS:PEPD:PLA2G15:PLTP:PPP2CB:PRPF40A:PSMB10:PTPRJ:RBM39:RNF20:RPN1:SIPA1:SP1:SPI1:SRRT:STAB1:TIMP2:TMEM258:TPM3:UBE2L3:ZBTB7A	Blood-Lipids_Teslovich_2010_High-Density-Lipoprotein	GP_MACROPHAGE	Saunders
ABCA1:APOE:ATP1B2:CABLES1:LCAT:LRP1:MAPK8IP1:MVK:NAPA:NFE2L1:RBM39:SLC38A3:SPARCL1	Blood-Lipids_Teslovich_2010_High-Density-Lipoprotein	HC_ASTROCYTE	Saunders
ABCA1:ACP2:AP1M1:APOE:BAZ1B:BCAM:CAPZA2:CBX1:CTCF:DICER1:GNAI2:HERPUD1:HNRNPM:KANK3:KCTD10:KPNB1:MAP1LC3A:MTCH2:NAPA:NOS3:NUP93:PLTP:SCARB1:SLC39A8:SMARCA4:SP1:TMEM258:TP53:TSC22D1:UBQLN1	Blood-Lipids_Teslovich_2010_High-Density-Lipoprotein	HC_ENDOTHELIAL_STALK	Saunders
ABCA1:AKR1A1:ANGPTL4:APOE:ATP1B2:BAZ1B:CAPZA2:GSK3B:HDGF:HERPUD1:HEXIM1:HNRNPM:KANK2:LPL:LRP1:MAP1LC3A:MAPK8IP1:MDK:NAPA:NFE2L1:NUDC:PLTP:RBM39:SLC38A3:TMEM258:TSC22D1:UBQLN1	Blood-Lipids_Teslovich_2010_High-Density-Lipoprotein	HC_ENDOTHELIAL_TIP	Saunders
ABCA1:APOE:ATP1B2:CKAP5:CTNNA1:DICER1:F2:FOXJ1:HNRNPM:HSPH1:LRP1:MAP1LC3A:MAPK8IP1:MED1:NPEPPS:NUDC:PLTP:RBM39:RPN1:SLC1A4:SNW1:TGM2:THRA:TIMP2:TMEM258	Blood-Lipids_Teslovich_2010_High-Density-Lipoprotein	HC_EPENDYMAL	Saunders
ABCA1:ACP2:AKR1A1:APOE:ARID1A:CAPZA2:CD36:CTCF:CTSA:CUL1:CYP27A1:DYNLRB1:HDLBP:HNRNPM:JMJD1C:LRP1:LRPAP1:MAPRE1:NAPA:NDUFA7:NFE2L1:NR3C1:PEPD:PLA2G15:PLTP:PPP2CB:PSMB10:RAB3IL1:RAB8B:RBM39:RELA:ROCK2:RPN1:RUNX1:SBNO1:SDF2L1:SEC24C:SNW1:SP1:SPI1:STAB1:TMEM258:TOMM40:TPM3:UBE2L3:ZBTB7A	Blood-Lipids_Teslovich_2010_High-Density-Lipoprotein	HC_MACROPHAGE	Saunders
ABCA1:APOE:ATP1B2:GNAI2:GSK3B:LCAT:LRP1:MVK:NAPA:NFE2L1:RBM39:SLC38A3:SPARCL1	Blood-Lipids_Teslovich_2010_High-Density-Lipoprotein	PC_ASTROCYTE	Saunders
ABCA1:APOE:C18orf32:CAPZA2:GNAI2:HERPUD1:HNRNPM:KCTD10:MAP1LC3A:NAPA:NOS3:PLTP:SCARB1:TMEM258:TSC22D1:UBE2L3:UBQLN1	Blood-Lipids_Teslovich_2010_High-Density-Lipoprotein	PC_ENDOTHELIAL_STALK	Saunders
ABCA1:APOE:ARID1A:CD36:CTCF:CTSA:CUL1:DYNLRB1:GNAI2:GSK3B:HNRNPM:JMJD1C:LRP1:MAPRE1:MED1:NAPA:NFE2L1:PLA2G15:PLTP:PSMB10:RAB8B:RBM39:RPN1:SP1:SPI1:STAB1:TMEM258:TPM3	Blood-Lipids_Teslovich_2010_High-Density-Lipoprotein	PC_MACROPHAGE	Saunders
ABCA1:AHCYL1:APOE:ATP1B2:BAZ1B:FASN:GNAI2:GSK3B:JMJD1C:LCAT:LRP1:MAPK8IP1:NFE2L1:RBM39:SFPQ:SLC38A3:SPARCL1:SRRT:TPM3	Blood-Lipids_Teslovich_2010_High-Density-Lipoprotein	SN_ASTROCYTE	Saunders
APOE:BAZ1B:CAPZA2:CBX1:CSF1:CTCF:GNAI2:HERPUD1:HNRNPM:KANK2:KCTD10:MAP1LC3A:NAPA:NOS3:PIAS4:PLTP:PPP2R5A:PSMB10:SCARB1:SLC39A8:SP1:TGM2:TRIM25:TSC22D1:UBQLN1	Blood-Lipids_Teslovich_2010_High-Density-Lipoprotein	SN_ENDOTHELIAL_STALK	Saunders
ABCA1:AKR1A1:ANGPTL4:APOE:ATP1B2:BACE1:BAZ1B:C18orf32:CDK12:CNBP:CTCF:DDX17:GSK3B:HDGF:HDLBP:HERPUD1:HNRNPM:KANK2:LPL:LRP1:MAP1LC3A:MDK:NFE2L1:NPEPPS:NR2F2:NUDC:PABPC4:PLTP:RBM39:RBM5:RDX:ROCK2:SLC38A3:SPARCL1:SRRT:TGM2:TIMP2:TSC22D1:UBQLN1	Blood-Lipids_Teslovich_2010_High-Density-Lipoprotein	SN_ENDOTHELIAL_TIP	Saunders
ABCA1:AHSA1:APOE:CKAP5:CTCF:HDLBP:HNRNPM:LRP1:MAP1LC3A:NAPA:NUDC:PLTP:RBM39:TSC22D1	Blood-Lipids_Teslovich_2010_High-Density-Lipoprotein	SN_EPENDYMAL	Saunders
ABCA1:APOE:CABLES1:CD36:CTSA:FKBP5:GNAI2:HNRNPM:KPNB1:LRP1:LRPAP1:MAL:MAX:MC4R:MMP9:NDUFA3:NDUFS3:NFE2L1:NPC1:NR3C1:NRP1:NUDC:PEPD:PIAS4:PLLP:PLTP:PSMB10:RAB8B:RBM39:RNF20:ROCK2:RPN1:SAR1A:SFPQ:SLC7A8:SMIM1:SPARCL1:SPI1:STAB1:TMEM258:TPM3:TUBB:UBE2L3:ZBTB7A	Blood-Lipids_Teslovich_2010_High-Density-Lipoprotein	SN_MACROPHAGE	Saunders
APOE:CAPZA2:CTSA:EGR1:GNAI2:HNRNPM:LPL:LRP1:NFE2L1:RBM39:S100A13:SHMT2:SKIL:SMOX:SPI1:TPM3:TRIB1:TRPM7	Blood-Lipids_Teslovich_2010_High-Density-Lipoprotein	SN_MICROGLIA	Saunders
APOE:BAZ1B:C18orf32:CBX1:CTCF:GNAI2:HNRNPM:MAP1LC3A:NDUFA7:NOS3:PLTP:SCARB1:SMAD7:SP1:TMEM258:TSC22D1:UBE2L3:UBQLN1	Blood-Lipids_Teslovich_2010_High-Density-Lipoprotein	STR_ENDOTHELIAL_STALK	Saunders
ABCA1:AKR1A1:APOE:BAZ1B:C18orf32:C1QTNF4:CTCF:DYNLRB1:GNAI1:GSK3B:HDLBP:HERPUD1:HNRNPM:HSPH1:LPL:LRP1:MAP1LC3A:MDK:NAPA:NDUFS3:NFE2L1:NUDC:PLCB1:PLTP:TMEM160:TMEM258:TOMM40:TYRO3:UBQLN1:UBXN1:UQCR10:ZPR1	Blood-Lipids_Teslovich_2010_High-Density-Lipoprotein	STR_ENDOTHELIAL_TIP	Saunders
ABCA1:AHSA1:AP1M1:APOE:CKAP5:CTCF:DICER1:GPRC5B:HDLBP:HNRNPM:LPL:LRP1:MAPK8IP1:NAPA:NDUFS3:NUDC:PLTP:SFPQ:SLC38A3:SLC39A8:STX4	Blood-Lipids_Teslovich_2010_High-Density-Lipoprotein	STR_EPENDYMAL	Saunders
ABCA1:ACP2:AKR1A1:APOE:CAPZA2:CBX1:CD36:CTSA:DGKZ:GNAI2:HEXIM1:HNRNPM:LPL:LRP1:MAN1A2:NAPA:NR3C1:NUDC:PAK2:PDIA3:PDIA6:PLTP:PSMB10:R3HDM2:RBM39:SKIL:SP1:SPI1:STAB1:TIMP2:TMEM258:TPM3:ZBTB7A	Blood-Lipids_Teslovich_2010_High-Density-Lipoprotein	STR_MACROPHAGE	Saunders
ABCA1:AHCYL1:APOE:ATP1B2:BAZ1B:CDK12:FOXO1:GNAI2:GSK3B:HNRNPM:JMJD1C:LCAT:LRP1:MDK:NDUFS3:NFE2L1:RBM39:SFPQ:SLC1A4:SLC38A3:SRRT:TPM3:TRPM7:ZBTB7A	Blood-Lipids_Teslovich_2010_High-Density-Lipoprotein	TH_ASTROCYTE	Saunders
ABCA1:APOE:BCAM:C18orf32:CBX1:CD47:GNAI2:HERPUD1:HNRNPM:MAP1LC3A:MTCH2:NAPA:NDUFA7:NOS3:PLTP:RBM39:SMARCA4:TMEM258:TP53:TPM3:TSC22D1:UBE2L3:UBQLN1:UBXN4:UTRN	Blood-Lipids_Teslovich_2010_High-Density-Lipoprotein	TH_ENDOTHELIAL_STALK	Saunders
ABCA1:ACTN4:AMFR:APOE:ATP1B2:BAZ1B:BICC1:C18orf32:CAPZA2:CTCF:GNAI2:GNG2:GSK3B:HDLBP:HERPUD1:HNRNPM:HNRNPR:KANK2:LPL:LRP1:MAP1LC3A:MDK:NAPA:NFE2L1:NUDC:PLTP:RBM39:RBM8A:RPN1:SLC38A3:SP1:TGM2:TMEM160:TMEM258:TPM3:TSC22D1:UBE2K:UBQLN1:UTRN:XRCC5	Blood-Lipids_Teslovich_2010_High-Density-Lipoprotein	TH_ENDOTHELIAL_TIP	Saunders
ABCA1:APOE:CTCF:DICER1:FOXJ1:HSPH1:LRP8:NAPA:NUDC:PLTP:RAB11B:RBM39:SP1	Blood-Lipids_Teslovich_2010_High-Density-Lipoprotein	TH_EPENDYMAL	Saunders
